,0,1,2,3,4,5,6,7,8,9
0,0.21380095,0.22576167,0.1909611,0.31190312,0.46743456,0.3222029,0.23723058,0.17443505,0.06793398,0.41044635
1,0.030262813,0.005326763,0.07714484,0.04756832,0.019408792,0.0817945,0.027142107,0.081303924,0.17084816,0.41345668
2,0.16067952,0.17699784,0.23487204,0.2055932,0.23494999,0.30091798,0.041509032,0.06535247,0.23193333,0.5991414
3,0.1375505,0.1054871,0.1704258,0.3117062,0.33464932,0.34428802,0.26683164,0.104755685,0.3077768,0.42679188
4,0.16022474,0.07621338,0.13903245,0.14913344,0.13747214,0.19037363,0.025997892,0.03474115,0.13552973,0.35193992
5,0.053480424,0.057614625,0.07718056,0.066518135,0.01072713,0.10432805,0.20017378,0.101217136,0.20399204,0.39488804
6,0.17614782,0.15197769,0.17535695,0.3147232,0.2604705,0.33880877,0.19379133,0.13640177,0.24765995,0.51170194
7,0.119716965,0.09222844,0.03477855,0.037027605,0.0006959513,0.0223542,0.09191181,0.032473907,0.21899429,0.38949004
8,0.13578048,0.1144763,0.13788953,0.1105248,0.038802266,0.17499432,0.08264586,0.101432204,0.11107972,0.5560347
9,0.14589483,0.040113002,0.03270372,0.13733588,0.016820133,0.056796428,0.03126417,0.0422398,0.27391386,0.35210893
10,0.10427329,0.093595065,0.05078224,0.10670985,0.086589396,0.0961574,0.069725275,0.08804083,0.2846066,0.49249446
11,0.1682724,0.15349934,0.036326475,0.014210597,0.004762247,0.06688383,0.07973561,0.1564225,0.25737742,0.59544414
12,0.14704949,0.10021442,0.16078928,0.16456622,0.13731253,0.14898098,0.0635674,0.11065753,0.18840912,0.4093741
13,0.115920424,0.14981952,0.21366847,0.24644704,0.18847278,0.04105127,0.096066535,0.14953956,0.15443,0.58919936
14,0.05918248,0.06458838,0.019608483,0.028673336,0.018898055,0.027479246,0.065546915,0.13852462,0.29964712,0.56985146
15,0.08381919,0.14403304,0.011880323,0.09493147,0.08845647,0.2325624,0.29204768,0.16880094,0.30015254,0.46370187
16,0.16361442,0.21365035,0.1993669,0.3049682,0.2028813,0.16296953,0.06081514,0.103396,0.0573636,0.37548384
17,0.16761157,0.047618203,0.2235015,0.21080275,0.22410502,0.19287843,0.084218115,0.025365502,0.14729184,0.47456765
18,0.12453804,0.1720528,0.20663995,0.22849698,0.22832526,0.12926641,0.011260688,0.04342395,0.09073496,0.48713243
19,0.037945896,0.023075804,0.035698324,0.15481436,0.080539525,0.06606753,0.07917997,0.14977275,0.25395656,0.25641796
20,0.18314844,0.15477085,0.2203264,0.20166379,0.19627807,0.1723176,0.07730687,0.0279423,0.21263623,0.5725168
21,0.3103692,0.22354028,0.18744606,0.23850052,0.23239867,0.37638813,0.19306213,0.15941739,0.27961227,0.5066408
22,0.07274637,0.08411245,0.02937895,0.03030824,0.10170793,0.12929344,0.019724555,0.030905664,0.22574882,0.38927168
23,0.10602794,0.033521175,0.08258059,0.10166611,0.09767028,0.098265275,0.024768889,0.055922776,0.33426514,0.30145237
24,0.28440422,0.19478239,0.15092546,0.19380546,0.18162388,0.34886232,0.22732215,0.15106058,0.23303589,0.41481426
25,0.044773504,0.054922014,0.036725104,0.09464074,0.018704258,0.049265638,0.122336455,0.07544373,0.07074121,0.27063805
26,0.12739262,0.1673131,0.20758247,0.21963157,0.21619304,0.029445678,0.07543364,0.1661658,0.120042264,0.5731357
27,0.07693783,0.08838298,0.024322815,0.028522,0.12702058,0.10995647,0.09324524,0.116352454,0.13051873,0.44903642
